Comment,Designator,Footprint,LCSC
100n,"C12,C15",C_0402_1005Metric,C1525
10k,"R11,R12,R6,R9",R_0402_1005Metric,C25744
5.1k,"R2,R3",R_0402_1005Metric,C25905
1M,R1,R_0402_1005Metric,C26083
TMC2209-LA,U4,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm_ThermalVias,C465949
UA78M33CDCYR,U2,SOT-223-3_TabPin2,C49036
1uf,C6,C_0402_1005Metric,
22pF,C3,C_0402_1005Metric,
10k,R10,R_0402_1005Metric,
0.33u,C1,C_0402_1005Metric,
ESD5Z3V3,D4,D_SOD-523,
ATSAMD51J19A-AUT,U3,TQFP-64_10x10mm_P0.5mm,
JST_SH,J4,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,
ESD5Z3V3,D5,D_SOD-523,
10uf,C5,C_0805_2012Metric,
1-84952-4,J6,TE_1-84952-4_1x14-1MP_P1.0mm_Horizontal,
MountingHole,H1,MountingHole_3.2mm_M3_ISO14580_Pad,
1k,R15,R_0402_1005Metric,
100k,R4,R_0402_1005Metric,
1uf,C9,C_0402_1005Metric,
0.1u,C4,C_0402_1005Metric,
10k,R5,R_0402_1005Metric,
1uf,C8,C_0402_1005Metric,
JST_PH,J2,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,
ESD5Z3V3,D3,D_SOD-523,
32.768,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,
10k,R8,R_0402_1005Metric,
MountingHole,H4,MountingHole_3.2mm_M3_ISO14580_Pad,
1uf,C11,C_0402_1005Metric,
100n,C17,C_0402_1005Metric,
XZMDK54W-1,D6,LED_0603_1608Metric,
100n,C16,C_0402_1005Metric,
ESD5Z3V3,D7,D_SOD-523,
1uf,C10,C_0402_1005Metric,
PMEG3020EJ,D1,D_SOD-323F,
RKB2SJK,SW1,button_RKB2SJK250SMTR LFS,
24AA02E-OT,U5,SOT-23-5,
22u,C18,C_0805_2012Metric,
2.2u,C14,C_0402_1005Metric,
RKB2SJK,SW2,button_RKB2SJK250SMTR LFS,
	MMSZ5254B,D2,D_SOD-123,
22pF,C2,C_0402_1005Metric,
10uf,C7,C_0805_2012Metric,
10k,R7,R_0402_1005Metric,
MountingHole,H3,MountingHole_3.2mm_M3_ISO14580_Pad,
22n,C13,C_0402_1005Metric,
300,R13,R_0402_1005Metric,
10k,R14,R_0402_1005Metric,
JST_SH,J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,
S2B-PH-K-S,J5,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,
MountingHole,H2,MountingHole_3.2mm_M3_ISO14580_Pad,
USB4105-GF-A,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,
TLV493D,U1,SOT-23-6,
120m,R21,R_1206_3216Metric,
100k,R16,R_0402_1005Metric,
1k,R19,R_0402_1005Metric,
10uh,L1,L_0603_1608Metric,
47u,C21,CP_Elec_6.3x5.4,
XZMDK54W-1,D9,LED_0603_1608Metric,
22u,C20,C_0805_2012Metric,
100n,C19,C_0402_1005Metric,
1k,R18,R_0402_1005Metric,
10k,R17,R_0402_1005Metric,
WS2812B,D10,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,
120m,R20,R_1206_3216Metric,
ESD5Z3V3,D8,D_SOD-523,
TestPoint,GND1,TestPoint_Pad_D2.0mm,
TestPoint,CLK1,TestPoint_Pad_D2.0mm,
TestPoint,RST1,TestPoint_Pad_D2.0mm,
TestPoint,SIO1,TestPoint_Pad_D2.0mm,
